AcquisitionMatrix	EchoNumbers	EchoTime	FlipAngle	ImagingFrequency	InPlanePhaseEncodingDirection	InversionTime	MagneticFieldStrength	NumberOfEchoes	PixelBandwidth	PixelSpacing	PulseSequenceName	RepetitionTime	SOPInstanceUID	ScanningSequence	SequenceVariant	SliceThickness	TriggerTime
0/384/224/0	1	104.8	90	127.737007	ROW	0	3		122.07	0.3125/0.3125		4000	1.3.6.1.4.1.14519.5.2.1.3671.4754.930933385664517206603114704398	SE	SK/OSP	3	
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.105008232455740490595405439936	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.157044229849729162602700388392	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.227712395403618893735496423922	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.230337230055087318268180985193	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.244547450919609855120163703162	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.305870425812686732225096942651	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.309581543372800941169513453909	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.340379674249331783875695201643	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.345677907633495614543054120660	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.417606768755071502293704812080	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.476646495770395124437183459165	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.753298040245883796075751602354	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.787711631506504997024118696452	GR	SS/SP/SK	6	47163
0/256/160/0	1	1.356	15	127.737062	ROW	13	3		488.281	1.0156/1.0156		3.784	1.3.6.1.4.1.14519.5.2.1.3671.4754.949709380562188709159029365921	GR	SS/SP/SK	6	47163
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.106688742446286236381324895320	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.109417332801531865066352457751	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.127093001713953605697399733605	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.161528121852434650816665081677	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.166553465048353041971814098175	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.171401369522353063681703441246	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.172230055681019898487039393770	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.172561288942852664011728021837	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.191737724932023629489625863282	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.201391754312401014344244053864	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.230794739953935605557810105057	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.245002784568263630409353007134	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.250839555075805029846128005460	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.293184360273361427773957625684	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.300525086900642496761851356091	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.301619131977123770013581482299	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.307623171213363906636118583110	EP/SE	NONE	3.000000	
128/0/0/96	1	80.8	90	127.736984	COL	0	3		1953.12	0.703100/0.703100		2500	1.3.6.1.4.1.14519.5.2.1.3671.4754.616373703618929676423166145882	EP/SE	NONE	3.000000	
